Price,Close,High,Low,Open,Volume,EMA_10,EMA_20,EMA_50,RSI,RSI_Signal,MACD,MACD_Signal,MACD_Diff,BB_Middle,BB_Upper,BB_Lower,ATR,ADX,Trend_Strength,Signal
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,,,,,,,,,,,,,,,
Date,,,,,,,,,,,,,,,,,,,,
2025-11-27,91285.375,91897.578125,90089.515625,90517.765625,57040622845,90016.2492515383,93423.5142911436,100818.931532082,34.73644071280437,0,-4755.346519983505,-5098.082613953981,342.73609397047676,93929.0703125,107561.42058321738,80296.72004178262,4053.8649553571427,28.613474470275882,True,0
2025-11-28,90919.265625,92969.0859375,90257.1171875,91285.3828125,60895830289,90180.43404671316,93185.01441817754,100430.70933964742,42.31184568816812,0,-4379.578711090915,-4954.381833381369,574.8031222904538,93360.927734375,106464.35788731095,80257.49758143905,3833.02734375,27.186554910031212,True,0
2025-11-29,90851.7578125,91187.6171875,90260.1875,90918.7421875,37921773455,90302.49291321984,92962.79950335111,100055.06418172007,39.09549714504588,0,-4040.6492423164746,-4771.635315168391,730.9860728519161,92667.53359375,104660.81333394545,80674.25385355456,3732.7952008928573,25.818303496134295,True,0
2025-11-30,90394.3125,91965.046875,90394.3125,90838.2109375,38497902869,90319.1873835435,92718.18169350814,99676.21117459379,40.829276977449815,0,-3765.5502903727756,-4570.418310209268,804.8680198364927,91887.41953125,102132.48237694561,81642.35668555438,3588.3459821428573,23.998543767504483,False,0
2025-12-01,86321.5703125,90398.15625,83862.25,90389.109375,87962894424,89592.34791608104,92108.98060960262,99152.49976823718,37.237139715278815,0,-3831.9957841163414,-4422.733804990683,590.7380208743416,91053.624609375,100140.42753080274,81966.82168794725,3718.5100446428573,23.069532744243222,False,0
2025-12-02,91350.203125,92316.6328125,86202.1953125,86322.5390625,78546798211,89911.9579540663,92036.71608725951,98846.52735085532,47.01599054589743,0,-3439.24025389702,-4226.035094771951,786.7948408749307,90537.975390625,98138.73285399978,82937.21792725021,3837.7829241071427,22.00619250050196,False,0
2025-12-03,93527.8046875,94060.7734375,91056.390625,91345.09375,77650204986,90569.38463287242,92178.72452537765,98637.94999150805,53.75120106888024,0,-2918.6203804613906,-3964.552151909839,1045.9317714484482,90229.491015625,96678.54269068071,83780.43934056928,3736.5212053571427,20.486194297058887,False,0
2025-12-04,92141.625,94038.2421875,90976.1015625,93454.2578125,64538402681,90855.24651780471,92175.19123724644,98383.19214870382,61.462302774668956,0,-2588.045122721669,-3689.250746072205,1101.205623350536,90116.6828125,96333.48186385795,83899.88376114206,3456.3688616071427,18.624775759312964,False,0
2025-12-05,89387.7578125,92702.640625,88152.140625,92133.6484375,63256398633,90588.43038956748,91909.72138727059,98030.4300178723,58.51013758874509,0,-2519.235734917369,-3455.247743841238,936.012008923869,89808.61328125,95478.52123150456,84138.70533099544,3301.3337053571427,16.732004721770075,False,0
2025-12-06,89272.375,90267.4609375,88951.6640625,89389.359375,37994042405,90349.1475914643,91658.54554086387,97686.97687991653,59.27778394338343,0,-2445.820333675627,-3253.362261808116,807.5419281324889,89563.378125,94848.98076547413,84277.77548452588,3251.597098214286,14.850529929984074,False,0
2025-12-07,90405.640625,91740.84375,87799.5625,89277.8125,47394898960,90359.41905210714,91539.22126316254,97401.43428168452,57.53382514724176,0,-2270.0255924329394,-3056.6949279330806,786.6693355001412,89478.96640625,94647.0274794178,84310.90533308219,3290.49609375,12.833620546853139,False,0
2025-12-08,90640.203125,92267.1171875,89644.890625,90424.5859375,57394099056,90410.47070172403,91453.60048809944,97136.28796181454,55.22742830670852,0,-2087.7138938247517,-2862.898721111415,775.1848272866632,89363.5328125,94303.35529477043,84423.71033022956,3196.7879464285716,10.789942656390972,False,0
2025-12-09,92691.7109375,94601.5703125,89586.9765625,90639.703125,66861721440,90825.2416536833,91571.51576899474,96961.99082360613,61.24465130393402,0,-1757.4324367234804,-2641.8054642338284,884.373027510348,89424.81875,94502.94696148096,84346.69053851905,3388.8370535714284,9.206353493803784,False,0
2025-12-10,92020.9453125,94477.15625,91640.1328125,92695.234375,65420694513,91042.64231892269,91614.31858266192,96768.22433297453,53.53006603846309,0,-1532.1455622227804,-2419.873483831619,887.7279216088386,89694.27109375,94720.04596615848,84668.49622134151,3286.8917410714284,7.743022118542354,False,0
2025-12-11,92511.3359375,93554.265625,89335.296875,92011.3046875,64532834621,91309.67752230036,91699.74880693221,96601.28753315199,52.918126290788734,0,-1299.0589233721112,-2195.7105717397176,896.6516483676064,90065.303515625,94743.7430517193,85386.8639795307,3459.0993303571427,6.687287548324583,False,0
2025-12-12,90270.4140625,92747.9296875,89532.6015625,92513.6640625,80275884583,91120.72052960939,91563.62168841486,96353.01798528328,48.58210308258947,0,-1280.4000946615124,-2012.6484763240767,732.2483816625643,90346.40625,94268.95764604864,86423.85485395136,3495.0535714285716,6.381899216820777,False,0
2025-12-13,90298.7109375,90647.5703125,89800.9921875,90257.796875,64237748110,90971.26424013496,91443.15399785154,96115.59417948786,48.78938475640623,0,-1248.9325995787221,-1859.905300975006,610.9727013962838,90521.09140625,94073.28624392964,86968.89656857034,3489.2784598214284,6.057717022848285,False,0
2025-12-14,88175.1796875,90498.109375,87634.9375,90296.4375,50465972205,90462.88523056495,91131.91834924663,95804.2053758805,45.47257090340739,0,-1379.4442333505576,-1763.8130874501162,384.3688540995586,90516.322265625,94081.4718623456,86951.1726689044,3581.5954241071427,6.427763262831236,False,0
2025-12-15,86419.78125,89983.921875,85304.078125,88171.078125,45559514323,89727.77541591677,90683.14338741361,95436.18874349302,50.22129244929955,0,-1606.0085598572623,-1732.2521819315457,126.2436220742834,90470.216796875,94226.92316759138,86713.51042615862,3449.01953125,5.569934857925692,False,0
2025-12-16,87843.984375,88170.09375,85381.6875,86424.40625,41262178223,89385.2679539319,90412.74729099327,95138.45523884623,40.56751767134988,0,-1651.6024859253957,-1716.1222427303157,64.51975680492001,90336.49765625,94272.11544877963,86400.87986372036,3211.445870535714,5.579684638621329,False,0
2025-12-17,86143.7578125,90264.5703125,85316.265625,87847.6171875,44243392914,88795.90247367155,90006.17686447011,94785.7220064405,29.611655092912173,1,-1804.1331510964374,-1733.72442440354,-70.40872669289729,90079.416796875,94406.32289977912,85752.51069397088,3350.297433035714,5.840661138475453,False,0
2025-12-18,85462.5078125,89412.6640625,84436.3125,86144.3671875,52667115348,88189.8307170949,89573.44647856819,94420.10576354088,30.811071902002865,0,-1957.4220408903202,-1778.4639477008961,-178.95809318942406,89806.57890625,94576.03755887214,85037.12025362786,3487.026785714286,6.339510043286574,False,0
2025-12-19,88103.3828125,89339.1171875,85107.6640625,85476.1328125,46733310561,88174.11291625946,89433.44041513313,94172.39113800987,46.285910769683994,0,-1844.545278866819,-1791.680213934081,-52.86506493273805,89669.16015625,94470.09306923697,84868.22724326303,3464.237723214286,6.026615085921996,False,0
2025-12-20,88344.0,88497.203125,87924.875,88101.671875,14688196659,88205.00147693955,89329.68418512045,93943.82677965655,47.3346778968825,0,-1715.8940768100583,-1776.5229865092765,60.628909699218184,89566.64453125,94389.88998626843,84743.39907623157,3411.1328125,5.7089842806490365,False,0
2025-12-21,88621.75,89027.953125,87613.203125,88344.703125,19845522660,88280.7739356778,89262.26188177566,93735.1178863367,44.613953365494844,0,-1573.3879318731488,-1735.895975582051,162.50804370890228,89681.653515625,94283.72026134266,85079.58676990734,3230.6662946428573,5.72133888755164,False,0
2025-12-22,88490.015625,90501.9296875,87908.0703125,88621.3984375,38047472118,88318.81787919093,89188.7146192256,93529.4276015784,43.467441644086364,0,-1454.316196587839,-1679.5800197832089,225.26382319536992,89538.644140625,94099.9746601315,84977.31362111849,3228.640066964286,5.676745921001985,False,0
2025-12-23,87414.0,88898.3828125,86606.9765625,88490.03125,43683011533,88154.30553751985,89019.69417929936,93289.60691132043,32.955306397105915,0,-1430.2889758191595,-1629.7218109903993,199.43283517123973,89232.95390625,93477.05884521666,84988.84896728334,3034.1266741071427,5.9183744541744305,False,0
2025-12-24,87611.9609375,87956.8828125,86411.796875,87404.3203125,25550297986,88055.69742842532,88885.62434674705,93066.95412803335,35.31236629269394,0,-1379.372885036646,-1579.6520257996488,200.27914076300272,89006.470703125,93076.91319371574,84936.02821253426,2941.8454241071427,6.531304592484934,False,0
2025-12-25,87234.7421875,88501.7890625,86949.2578125,87608.3203125,19953216347,87906.43283916617,88728.3974744378,92838.23993428695,32.28855481337273,0,-1353.8535360185924,-1534.4923278434376,180.63879182484516,88898.819921875,93040.069493987,84757.57034976299,2751.3856026785716,6.665068941745239,False,0
2025-12-26,87301.4296875,89459.4296875,86628.140625,87235.5078125,42455674908,87796.43226613595,88592.49578044373,92621.11012068746,38.331083661981864,0,-1313.1114131580543,-1490.216144906361,177.10473174830668,88800.27265625,92997.51821873877,84603.02709376124,2723.9542410714284,6.470085623325565,False,0
2025-12-27,87802.15625,87874.78125,87182.9765625,87301.4296875,13741199310,87797.47299047487,88517.2253489729,92432.13153752325,40.53919307555346,0,-1226.2827146131021,-1437.4294588477092,211.146744234607,88670.0984375,92818.91583353985,84521.28104146014,2712.898995535714,6.27535586590209,False,0
2025-12-28,87835.8359375,87986.890625,87394.953125,87799.34375,15156557929,87804.44807175217,88452.33111930882,92251.88465124782,48.472022491198544,0,-1141.593101484017,-1378.2621873749708,236.66908589095374,88529.880078125,92586.88740541687,84472.87275083314,2550.66796875,5.6347813957330315,False,0
2025-12-29,87138.140625,90299.15625,86717.9140625,87835.7890625,48411625849,87683.30126325176,88327.17011985084,92051.34566982633,53.575122281235174,0,-1117.8878386166616,-1326.1873176233091,208.29947900664752,88252.2015625,91843.29318945456,84661.10993554545,2472.1964285714284,6.547941397580411,False,0
2025-12-30,88430.1328125,89297.9375,86735.546875,87134.3515625,35586356225,87819.08881766052,88336.97609057934,91909.3373224802,52.95603708924886,0,-983.5109728246898,-1257.6520486635854,274.14107583889563,88072.6609375,91199.42970695125,84945.89216804874,2456.0524553571427,7.1452713690294445,False,0
2025-12-31,87508.828125,89080.2890625,87130.5625,88429.5859375,33830210616,87762.67778263133,88258.10485576226,91736.76833434372,57.47123389589898,0,-940.5162413885264,-1194.2248872085736,253.7086458200472,87822.535546875,90153.2937888842,85491.77730486581,2241.8683035714284,7.455308842905074,False,0
2026-01-01,88731.984375,88803.2265625,87399.40625,87508.046875,18849043990,87938.91534488018,88303.23623854682,91618.93366927141,66.89230481089587,0,-798.5390587375296,-1115.0877215143648,316.5486627768353,87745.6140625,89824.11104305545,85667.11708194454,1986.6875,7.997826490060971,False,0
